path;method;vulnerability
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_21.java;goodB2G2;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeBatch_52a.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeBatch_52c.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeBatch_74a.java;goodB2G;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_execute_22b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_08.java;goodB2G1;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_12.java;goodB2G;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_prepareStatement_66a.java;goodB2G;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeBatch_04.java;goodB2G1;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeQuery_05.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_13.java;goodB2G2;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_04.java;goodB2G1;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeBatch_11.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeUpdate_68b.java;goodG2BSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeQuery_51b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_02.java;goodB2G1;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_61b.java;badSource;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeBatch_22b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeUpdate_14.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_03.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_17.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_51b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_06.java;goodB2G1;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_execute_02.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_prepareStatement_81a.java;goodB2G;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_01.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_execute_72b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeBatch_14.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeUpdate_52c.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeBatch_08.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeBatch_81a.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_21.java;goodB2G1;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeBatch_67b.java;goodG2BSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeBatch_61a.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeUpdate_68a.java;goodB2G;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeQuery_67b.java;goodG2BSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_04.java;goodB2G2;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeBatch_05.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_11.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeBatch_06.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_prepareStatement_01.java;goodB2G;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeBatch_61a.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeUpdate_61b.java;badSource;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeBatch_15.java;goodB2G1;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_prepareStatement_07.java;goodB2G1;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeQuery_13.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_75a.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeBatch_68b.java;goodB2GSink;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_22a.java;goodB2G2;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeQuery_16.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_02.java;goodB2G2;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeUpdate_67b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_execute_41.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeUpdate_08.java;goodB2G2;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_42.java;goodB2GSource;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeQuery_61a.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeQuery_66b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_execute_08.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_10.java;goodB2G1;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeQuery_54e.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeBatch_68b.java;goodG2BSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeUpdate_04.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_06.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeBatch_16.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeBatch_67a.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_15.java;goodB2G2;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeUpdate_08.java;goodB2G1;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_31.java;goodB2G;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_prepareStatement_15.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeUpdate_05.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_41.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_74a.java;goodB2G;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeUpdate_09.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeBatch_06.java;goodB2G2;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeUpdate_02.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_execute_41.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeUpdate_53d.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_prepareStatement_09.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeQuery_73b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeUpdate_17.java;goodB2G;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_71a.java;goodB2G;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_67a.java;goodB2G;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeBatch_71a.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeBatch_68b.java;badSink;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeUpdate_15.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeQuery_21.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeQuery_42.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeBatch_42.java;badSource;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_execute_73b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeUpdate_67b.java;goodG2BSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_prepareStatement_17.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_execute_67b.java;goodG2BSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeQuery_22b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeBatch_06.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_68b.java;goodG2BSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeUpdate_11.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeQuery_67b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeBatch_08.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeBatch_03.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeUpdate_72a.java;goodB2G;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_71a.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeQuery_17.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_41.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_prepareStatement_08.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeBatch_71a.java;goodB2G;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeUpdate_09.java;goodB2G1;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeBatch_21.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_prepareStatement_15.java;goodB2G2;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_execute_45.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_04.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeBatch_22b.java;goodB2G2Sink;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeUpdate_68b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_02.java;goodB2G1;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeBatch_05.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_prepareStatement_22a.java;goodB2G2;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeUpdate_21.java;goodB2G2;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeBatch_10.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeUpdate_13.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_03.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_72b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_45.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_execute_67b.java;goodG2BSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_execute_05.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_prepareStatement_67a.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_14.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_42.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_execute_15.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeUpdate_12.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_execute_42.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_prepareStatement_11.java;goodB2G1;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_08.java;goodB2G1;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_execute_16.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeUpdate_54e.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeBatch_22a.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_67b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeBatch_51b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeUpdate_45.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeUpdate_73b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeUpdate_05.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_execute_14.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeQuery_07.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_execute_12.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeBatch_04.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeQuery_68b.java;goodG2BSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_21.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeBatch_61a.java;goodB2G;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_execute_52c.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_04.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_42.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeUpdate_45.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeUpdate_41.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeQuery_06.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_execute_11.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_22a.java;goodB2G1;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_execute_22b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_68b.java;goodG2BSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_prepareStatement_03.java;goodB2G1;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_prepareStatement_72a.java;goodB2G;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeBatch_06.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeQuery_17.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_07.java;goodB2G2;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_prepareStatement_21.java;goodB2G2;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeUpdate_41.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeQuery_08.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_execute_51b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeUpdate_21.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_17.java;goodB2G;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeQuery_73b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_execute_17.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_execute_68b.java;goodG2BSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeBatch_01.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeBatch_07.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeBatch_51b.java;badSink;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeUpdate_09.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeUpdate_13.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeUpdate_51b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeUpdate_42.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeBatch_11.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeUpdate_81a.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_22a.java;goodB2G1;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeBatch_51b.java;badSink;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeBatch_66b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeBatch_13.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeBatch_42.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeQuery_42.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeQuery_01.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeUpdate_73a.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeUpdate_06.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeUpdate_71b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_52c.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_execute_09.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_15.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_execute_02.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeQuery_03.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_51a.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeUpdate_67b.java;goodG2BSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_execute_53d.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_01.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_prepareStatement_14.java;goodB2G1;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_execute_71b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_51a.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_prepareStatement_14.java;goodB2G2;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeBatch_03.java;goodB2G2;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_executeQuery_71b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_prepareStatement_66a.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeQuery_15.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeBatch_21.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeUpdate_13.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeUpdate_54a.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_execute_02.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_execute_21.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeUpdate_05.java;goodB2G2;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_prepareStatement_17.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_73a.java;goodB2G;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeBatch_72a.java;goodB2G;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_execute_66b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_execute_11.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeQuery_11.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_execute_03.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeUpdate_16.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_09.java;goodB2G1;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeUpdate_04.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_execute_15.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeQuery_16.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getCookies_Servlet_executeQuery_54e.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_17.java;bad;CWE606
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__URLConnection_executeUpdate_22b.java;badSink;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getParameter_Servlet_execute_05.java;bad;CWE89
src/testcases/CWE89_SQL_Injection/CWE89_SQL_Injection__getQueryString_Servlet_executeQuery_09.java;bad;CWE606
